"","chromosome","best_score","best_length"
"chr3.135","chr3",1,600000
"chr3.136","chr3",1,900000
"chr3.137","chr3",0,1300000
"chr3.138","chr3",1,1500000
"chr3.139","chr3",1,2000000
"chr3.140","chr3",1,700000
"chr3.141","chr3",1,900000
"chr3.142","chr3",1,900000
"chr3.143","chr3",1,500000
"chr3.144","chr3",1,600000
"chr3.145","chr3",1,800000
"chr3.146","chr3",1,1000000
"chr3.147","chr3",1,2200000
"chr3.148","chr3",1,1900000
"chr3.149","chr3",1,900000
"chr3.150","chr3",1,600000
"chr3.151","chr3",1,600000
"chr3.152","chr3",1,700000
"chr3.153","chr3",1,1000000
"chr3.154","chr3",1,2000000
"chr3.155","chr3",0.732283464566929,800000
"chr3.156","chr3",0.968503937007874,300000
"chr3.157","chr3",1,900000
"chr3.158","chr3",0.871428571428571,1000000
"chr3.159","chr3",1,1100000
"chr3.160","chr3",1,500000
"chr3.161","chr3",1,1500000
"chr3.162","chr3",1,800000
"chr3.163","chr3",1,900000
"chr3.164","chr3",1,1600000
"chr3.165","chr3",1,1100000
"chr3.166","chr3",1,800000
"chr3.167","chr3",1,1400000
"chr3.168","chr3",0.742857142857143,600000
"chr3.169","chr3",1,400000
"chr3.170","chr3",0.833333333333333,500000
"chr3.171","chr3",NA,NA
"chr3.172","chr3",NA,NA
"chr3.173","chr3",NA,NA
"chr3.174","chr3",NA,NA
"chr3.175","chr3",NA,NA
"chr3.176","chr3",NA,NA
"chr3.177","chr3",NA,NA
"chr3.178","chr3",NA,NA
"chr3.179","chr3",NA,NA
"chr4.1","chr4",1,700000
"chr4.2","chr4",0,1000000
"chr4.3","chr4",0.565217391304348,400000
"chr4.4","chr4",1,800000
"chr4.5","chr4",1,900000
"chr4.6","chr4",1,500000
"chr4.7","chr4",0.463414634146341,400000
"chr4.8","chr4",1,300000
"chr4.9","chr4",1,1200000
"chr4.10","chr4",1,900000
"chr4.11","chr4",1,900000
"chr4.12","chr4",1,1600000
"chr4.13","chr4",1,700000
"chr4.14","chr4",0.5,300000
"chr4.15","chr4",1,1200000
"chr4.16","chr4",0.55952380952381,1000000
"chr4.17","chr4",1,1700000
"chr4.18","chr4",1,500000
"chr4.19","chr4",1,900000
"chr4.20","chr4",1,1200000
"chr4.21","chr4",1,1500000
"chr4.22","chr4",0.384615384615385,700000
"chr4.23","chr4",0,700000
"chr4.24","chr4",1,700000
"chr4.25","chr4",1,500000
"chr4.26","chr4",1,7200000
"chr4.27","chr4",0,1100000
"chr4.28","chr4",1,1200000
"chr4.29","chr4",0.90625,600000
"chr4.30","chr4",0,700000
"chr4.31","chr4",0.227272727272727,1100000
"chr4.32","chr4",0.772727272727273,1700000
"chr4.33","chr4",1,2000000
"chr4.34","chr4",1,800000
"chr4.35","chr4",1,500000
"chr4.36","chr4",1,800000
"chr4.37","chr4",1,1100000
"chr4.38","chr4",1,1200000
"chr4.39","chr4",1,2500000
"chr4.40","chr4",1,2100000
"chr4.41","chr4",1,1100000
"chr4.42","chr4",1,2400000
"chr4.43","chr4",0,1900000
"chr4.44","chr4",1,2700000
"chr4.45","chr4",1,900000
"chr4.46","chr4",1,900000
"chr4.47","chr4",1,1100000
"chr4.48","chr4",1,600000
"chr4.49","chr4",0.730769230769231,600000
"chr4.50","chr4",0,600000
"chr4.51","chr4",0,700000
"chr4.52","chr4",1,1100000
"chr4.53","chr4",1,600000
"chr4.54","chr4",0.901234567901235,700000
"chr4.55","chr4",0.505154639175258,700000
"chr4.56","chr4",0.568181818181818,800000
"chr4.57","chr4",1,1300000
"chr4.58","chr4",1,1300000
"chr4.59","chr4",0.803921568627451,1000000
"chr4.60","chr4",1,1000000
"chr4.61","chr4",1,900000
"chr4.62","chr4",1,1200000
"chr4.63","chr4",0.821428571428571,400000
"chr4.64","chr4",1,1100000
"chr4.65","chr4",1,800000
"chr4.66","chr4",1,1800000
"chr4.67","chr4",1,1200000
"chr4.68","chr4",0.833333333333333,700000
"chr4.69","chr4",1,1300000
"chr4.70","chr4",1,1400000
"chr4.71","chr4",0.933333333333333,500000
"chr4.72","chr4",0.347368421052632,400000
"chr4.73","chr4",0.768421052631579,400000
"chr4.74","chr4",1,3000000
"chr4.75","chr4",1,1800000
"chr4.76","chr4",1,2300000
"chr4.77","chr4",1,700000
"chr4.78","chr4",1,800000
"chr4.79","chr4",1,900000
"chr4.80","chr4",1,800000
"chr4.81","chr4",1,600000
"chr4.82","chr4",0.746478873239437,700000
"chr4.83","chr4",0.621621621621622,1000000
"chr4.84","chr4",0.555555555555556,600000
"chr4.85","chr4",0.654545454545455,700000
"chr4.86","chr4",0.974358974358974,600000
"chr4.87","chr4",1,500000
"chr4.88","chr4",1,1500000
"chr4.89","chr4",0.260869565217391,1100000
"chr4.90","chr4",1,800000
"chr4.91","chr4",1,800000
"chr4.92","chr4",1,1200000
"chr4.93","chr4",1,2200000
"chr4.94","chr4",1,700000
"chr4.95","chr4",0.532467532467532,600000
"chr4.96","chr4",0.896551724137931,1200000
"chr4.97","chr4",1,400000
"chr4.98","chr4",1,1200000
"chr4.99","chr4",1,700000
"chr4.100","chr4",1,700000
"chr4.101","chr4",1,900000
"chr4.102","chr4",0.986301369863014,1200000
"chr4.103","chr4",1,1100000
"chr4.104","chr4",0,600000
"chr4.105","chr4",1,1000000
"chr4.106","chr4",1,1700000
"chr4.107","chr4",1,700000
"chr4.108","chr4",1,1000000
"chr4.109","chr4",1,2100000
"chr4.110","chr4",1,1900000
"chr4.111","chr4",0.764150943396226,900000
"chr4.112","chr4",1,1100000
"chr4.113","chr4",1,600000
"chr4.114","chr4",1,700000
"chr4.115","chr4",1,900000
"chr4.116","chr4",1,900000
"chr4.117","chr4",1,900000
"chr4.118","chr4",0,800000
"chr4.119","chr4",1,1000000
"chr4.120","chr4",1,700000
"chr4.121","chr4",1,1600000
"chr4.122","chr4",1,1200000
"chr4.123","chr4",1,700000
"chr4.124","chr4",1,800000
"chr4.125","chr4",0.318181818181818,600000
"chr4.126","chr4",0.580110497237569,600000
"chr4.127","chr4",0.419889502762431,1100000
"chr4.128","chr4",0.50253807106599,700000
"chr4.129","chr4",0.873563218390805,600000
"chr4.130","chr4",1,1200000
"chr4.131","chr4",1,800000
"chr4.132","chr4",1,600000
"chr4.133","chr4",0.59375,800000
"chr4.134","chr4",1,1700000
"chr4.135","chr4",1,1200000
"chr4.136","chr4",1,1100000
"chr4.137","chr4",1,1300000
"chr4.138","chr4",0.804878048780488,700000
"chr4.139","chr4",1,700000
"chr4.140","chr4",1,900000
"chr4.141","chr4",0.416666666666667,800000
"chr4.142","chr4",1,900000
"chr4.143","chr4",0.771929824561403,600000
"chr4.144","chr4",0.62962962962963,300000
"chr4.145","chr4",0.82258064516129,900000
"chr4.146","chr4",1,1900000
"chr4.147","chr4",1,600000
"chr4.148","chr4",1,700000
"chr4.149","chr4",1,600000
"chr4.150","chr4",1,800000
"chr4.151","chr4",1,800000
"chr4.152","chr4",1,800000
"chr4.153","chr4",1,1300000
"chr4.154","chr4",1,1400000
"chr4.155","chr4",0,800000
"chr4.156","chr4",1,1700000
"chr4.157","chr4",1,1000000
"chr4.158","chr4",0.447761194029851,700000
"chr4.159","chr4",1,1100000
"chr4.160","chr4",1,3700000
"chr4.161","chr4",NA,NA
"chr4.162","chr4",NA,NA
"chr4.163","chr4",NA,NA
"chr4.164","chr4",NA,NA
"chr4.165","chr4",NA,NA
"chr4.166","chr4",NA,NA
"chr5.1","chr5",0,200000
"chr5.2","chr5",1,500000
"chr5.3","chr5",1,1100000
"chr5.4","chr5",1,2800000
"chr5.5","chr5",1,600000
"chr5.6","chr5",1,1300000
"chr5.7","chr5",1,1100000
"chr5.8","chr5",1,2300000
"chr5.9","chr5",1,3200000
"chr5.10","chr5",1,1000000
"chr5.11","chr5",1,1500000
"chr5.12","chr5",1,1700000
"chr5.13","chr5",1,2300000
"chr5.14","chr5",0,200000
"chr5.15","chr5",1,2900000
"chr5.16","chr5",1,6700000
"chr5.17","chr5",1,800000
"chr5.18","chr5",0.701149425287356,600000
"chr5.19","chr5",0.541666666666667,700000
"chr5.20","chr5",1,700000
"chr5.21","chr5",1,600000
"chr5.22","chr5",1,1000000
"chr5.23","chr5",1,700000
"chr5.24","chr5",0.0833333333333333,700000
"chr5.25","chr5",1,700000
"chr5.26","chr5",1,1100000
"chr5.27","chr5",1,1500000
"chr5.28","chr5",1,700000
"chr5.29","chr5",1,1300000
"chr5.30","chr5",0.117647058823529,800000
"chr5.31","chr5",0.882352941176471,800000
"chr5.32","chr5",1,1300000
"chr5.33","chr5",0.926829268292683,600000
"chr5.34","chr5",1,1700000
"chr5.35","chr5",0,500000
"chr5.36","chr5",0,1200000
"chr5.37","chr5",0,900000
"chr5.38","chr5",0,700000
"chr5.39","chr5",0.0526315789473684,700000
"chr5.40","chr5",0.947368421052632,400000
"chr5.41","chr5",0.907692307692308,1200000
"chr5.42","chr5",1,1300000
"chr5.43","chr5",1,1100000
"chr5.44","chr5",1,1200000
"chr5.45","chr5",1,700000
"chr5.46","chr5",1,1200000
"chr5.47","chr5",1,800000
"chr5.48","chr5",1,800000
"chr5.49","chr5",1,600000
"chr5.50","chr5",1,900000
"chr5.51","chr5",1,1200000
"chr5.52","chr5",1,600000
"chr5.53","chr5",1,500000
"chr5.54","chr5",0.824561403508772,900000
"chr5.55","chr5",1,600000
"chr5.56","chr5",0.72,600000
"chr5.57","chr5",0.645161290322581,300000
"chr5.58","chr5",1,900000
"chr5.59","chr5",1,1000000
"chr5.60","chr5",0.65,600000
"chr5.61","chr5",0.796296296296296,500000
"chr5.62","chr5",1,700000
"chr5.63","chr5",0,800000
"chr5.64","chr5",0,700000
"chr5.65","chr5",0,500000
"chr5.66","chr5",1,900000
"chr5.67","chr5",1,900000
"chr5.68","chr5",1,1000000
"chr5.69","chr5",1,1300000
"chr5.70","chr5",1,1500000
"chr5.71","chr5",1,1700000
"chr5.72","chr5",1,600000
"chr5.73","chr5",1,1200000
"chr5.74","chr5",1,2000000
"chr5.75","chr5",0.853658536585366,700000
"chr5.76","chr5",1,3300000
"chr5.77","chr5",1,700000
"chr5.78","chr5",1,1000000
"chr5.79","chr5",0.682926829268293,300000
"chr5.80","chr5",1,1700000
"chr5.81","chr5",1,300000
"chr5.82","chr5",1,800000
"chr5.83","chr5",0.975,1400000
"chr5.84","chr5",0.980392156862745,700000
"chr5.85","chr5",1,1100000
"chr5.86","chr5",1,3300000
"chr5.87","chr5",0.702702702702703,700000
"chr5.88","chr5",1,700000
"chr5.89","chr5",0.776,1200000
"chr5.90","chr5",0.976190476190476,1100000
"chr5.91","chr5",0.686274509803922,400000
"chr5.92","chr5",0.777777777777778,400000
"chr5.93","chr5",0.222222222222222,700000
"chr5.94","chr5",1,800000
"chr5.95","chr5",0.65625,700000
"chr5.96","chr5",0,1500000
"chr5.97","chr5",1,900000
"chr5.98","chr5",1,1300000
"chr5.99","chr5",1,1500000
"chr5.100","chr5",1,1600000
"chr5.101","chr5",1,1500000
"chr5.102","chr5",1,1500000
"chr5.103","chr5",1,2600000
"chr5.104","chr5",0.837837837837838,300000
"chr5.105","chr5",0.162162162162162,900000
"chr5.106","chr5",1,800000
"chr5.107","chr5",0.68,600000
"chr5.108","chr5",1,1000000
"chr5.109","chr5",1,1300000
"chr5.110","chr5",1,800000
"chr5.111","chr5",0.696969696969697,500000
"chr5.112","chr5",1,500000
"chr5.113","chr5",0.607142857142857,500000
"chr5.114","chr5",0,300000
"chr5.115","chr5",1,2200000
"chr5.116","chr5",1,900000
"chr5.117","chr5",1,900000
"chr5.118","chr5",1,700000
"chr5.119","chr5",1,900000
"chr5.120","chr5",0.791666666666667,700000
"chr5.121","chr5",1,2300000
"chr5.122","chr5",1,700000
"chr5.123","chr5",1,700000
"chr5.124","chr5",1,1300000
"chr5.125","chr5",0.184210526315789,400000
"chr5.126","chr5",1,700000
"chr5.127","chr5",1,1500000
"chr5.128","chr5",1,2400000
"chr5.129","chr5",1,1100000
"chr5.130","chr5",1,900000
"chr5.131","chr5",1,1300000
"chr5.132","chr5",1,1700000
"chr5.133","chr5",1,1100000
"chr5.134","chr5",1,1000000
"chr5.135","chr5",1,2600000
"chr5.136","chr5",1,500000
"chr5.137","chr5",1,1200000
"chr5.138","chr5",1,900000
"chr5.139","chr5",1,600000
"chr5.140","chr5",1,700000
"chr5.141","chr5",1,2100000
"chr5.142","chr5",1,900000
"chr5.143","chr5",1,1500000
"chr5.144","chr5",1,500000
"chr5.145","chr5",0.763636363636364,700000
"chr5.146","chr5",0.65,600000
"chr5.147","chr5",NA,NA
"chr5.148","chr5",NA,NA
"chr5.149","chr5",NA,NA
"chr5.150","chr5",NA,NA
"chr5.151","chr5",NA,NA
"chr6.1","chr6",0,400000
"chr6.2","chr6",1,700000
"chr6.3","chr6",1,1300000
"chr6.4","chr6",1,400000
"chr6.5","chr6",1,900000
"chr6.6","chr6",1,900000
"chr6.7","chr6",1,300000
"chr6.8","chr6",1,1100000
"chr6.9","chr6",0.5,600000
"chr6.10","chr6",1,700000
"chr6.11","chr6",1,2100000
"chr6.12","chr6",1,700000
"chr6.13","chr6",1,900000
"chr6.14","chr6",1,600000
"chr6.15","chr6",0.978723404255319,600000
"chr6.16","chr6",1,800000
"chr6.17","chr6",1,700000
"chr6.18","chr6",1,500000
"chr6.19","chr6",1,1600000
"chr6.20","chr6",1,1500000
"chr6.21","chr6",1,1500000
"chr6.22","chr6",1,2800000
"chr6.23","chr6",1,400000
"chr6.24","chr6",0.285714285714286,900000
"chr6.25","chr6",0.714285714285714,1200000
"chr6.26","chr6",1,800000
"chr6.27","chr6",1,400000
"chr6.28","chr6",1,600000
"chr6.29","chr6",1,900000
"chr6.30","chr6",1,600000
"chr6.31","chr6",1,1100000
"chr6.32","chr6",1,1400000
"chr6.33","chr6",1,1000000
"chr6.34","chr6",1,1100000
"chr6.35","chr6",1,500000
"chr6.36","chr6",1,600000
"chr6.37","chr6",1,1400000
"chr6.38","chr6",1,1000000
"chr6.39","chr6",1,1700000
"chr6.40","chr6",1,1100000
"chr6.41","chr6",1,700000
"chr6.42","chr6",1,1600000
"chr6.43","chr6",1,600000
"chr6.44","chr6",1,700000
"chr6.45","chr6",1,1300000
"chr6.46","chr6",1,700000
"chr6.47","chr6",1,700000
"chr6.48","chr6",1,1500000
"chr6.49","chr6",1,1100000
"chr6.50","chr6",1,1400000
"chr6.51","chr6",1,1200000
"chr6.52","chr6",0.775510204081633,400000
"chr6.53","chr6",1,600000
"chr6.54","chr6",1,4400000
"chr6.55","chr6",1,1100000
"chr6.56","chr6",1,600000
"chr6.57","chr6",1,900000
"chr6.58","chr6",0,1200000
"chr6.59","chr6",0,1100000
"chr6.60","chr6",0,300000
"chr6.61","chr6",0,1500000
"chr6.62","chr6",1,700000
"chr6.63","chr6",1,2900000
"chr6.64","chr6",0,1100000
"chr6.65","chr6",1,2300000
"chr6.66","chr6",1,800000
"chr6.67","chr6",0.585365853658537,600000
"chr6.68","chr6",0.9375,700000
"chr6.69","chr6",1,1000000
"chr6.70","chr6",0.788461538461538,500000
"chr6.71","chr6",1,1200000
"chr6.72","chr6",1,2000000
"chr6.73","chr6",1,700000
"chr6.74","chr6",1,800000
"chr6.75","chr6",1,2200000
"chr6.76","chr6",1,2100000
"chr6.77","chr6",1,1000000
"chr6.78","chr6",1,700000
"chr6.79","chr6",0,300000
"chr6.80","chr6",1,1800000
"chr6.81","chr6",1,600000
"chr6.82","chr6",1,1100000
"chr6.83","chr6",1,2500000
"chr6.84","chr6",1,1000000
"chr6.85","chr6",1,800000
"chr6.86","chr6",0,700000
"chr6.87","chr6",0,600000
"chr6.88","chr6",0.444444444444444,800000
"chr6.89","chr6",1,1200000
"chr6.90","chr6",1,1400000
"chr6.91","chr6",0,600000
"chr6.92","chr6",1,800000
"chr6.93","chr6",1,1900000
"chr6.94","chr6",1,2000000
"chr6.95","chr6",1,800000
"chr6.96","chr6",0.862745098039216,500000
"chr6.97","chr6",0.137254901960784,600000
"chr6.98","chr6",1,1200000
"chr6.99","chr6",1,3200000
"chr6.100","chr6",1,1100000
"chr6.101","chr6",1,1700000
"chr6.102","chr6",1,900000
"chr6.103","chr6",1,1200000
"chr6.104","chr6",0.526315789473684,500000
"chr6.105","chr6",1,1700000
"chr6.106","chr6",0,700000
"chr6.107","chr6",1,800000
"chr6.108","chr6",1,800000
"chr6.109","chr6",1,600000
"chr6.110","chr6",1,600000
"chr6.111","chr6",1,1000000
"chr6.112","chr6",1,1100000
"chr6.113","chr6",1,500000
"chr6.114","chr6",1,1000000
"chr6.115","chr6",1,1000000
"chr6.116","chr6",1,800000
"chr6.117","chr6",1,600000
"chr6.118","chr6",1,2300000
"chr6.119","chr6",1,700000
"chr6.120","chr6",1,1000000
"chr6.121","chr6",1,600000
"chr6.122","chr6",1,1700000
"chr6.123","chr6",1,800000
"chr6.124","chr6",1,1700000
"chr6.125","chr6",1,500000
"chr6.126","chr6",0.789473684210526,300000
"chr6.127","chr6",1,1100000
"chr6.128","chr6",0.666666666666667,600000
"chr6.129","chr6",1,1000000
"chr6.130","chr6",1,1500000
"chr6.131","chr6",1,600000
"chr6.132","chr6",1,600000
"chr6.133","chr6",0.784313725490196,1200000
"chr6.134","chr6",1,900000
"chr6.135","chr6",1,600000
"chr6.136","chr6",0.923076923076923,800000
"chr6.137","chr6",0.485148514851485,600000
"chr6.138","chr6",1,900000
"chr6.139","chr6",1,800000
"chr6.140","chr6",1,2600000
"chr6.141","chr6",1,2000000
"chr6.142","chr6",1,1200000
"chr6.143","chr6",1,700000
"chr6.144","chr6",1,2400000
"chr6.145","chr6",NA,NA
"chr6.146","chr6",NA,NA
"chr6.147","chr6",NA,NA
"chr6.148","chr6",NA,NA
"chr7.1","chr7",1,600000
"chr7.2","chr7",1,300000
"chr7.3","chr7",0.6,500000
"chr7.4","chr7",1,1600000
"chr7.5","chr7",1,800000
"chr7.6","chr7",1,600000
"chr7.7","chr7",0.564102564102564,300000
"chr7.8","chr7",1,600000
"chr7.9","chr7",1,700000
"chr7.10","chr7",1,3000000
"chr7.11","chr7",0,1100000
"chr7.12","chr7",1,800000
"chr7.13","chr7",1,1400000
"chr7.14","chr7",1,1400000
"chr7.15","chr7",1,800000
"chr7.16","chr7",1,800000
"chr7.17","chr7",1,2000000
"chr7.18","chr7",1,1000000
"chr7.19","chr7",1,1400000
"chr7.20","chr7",0.4,500000
"chr7.21","chr7",1,600000
"chr7.22","chr7",1,600000
"chr7.23","chr7",1,900000
"chr7.24","chr7",0.875,400000
"chr7.25","chr7",1,700000
"chr7.26","chr7",0.941176470588235,600000
"chr7.27","chr7",1,600000
"chr7.28","chr7",1,900000
"chr7.29","chr7",0.966666666666667,600000
"chr7.30","chr7",1,1000000
"chr7.31","chr7",0.705882352941177,700000
"chr7.32","chr7",1,1600000
"chr7.33","chr7",1,600000
"chr7.34","chr7",1,900000
"chr7.35","chr7",1,1000000
"chr7.36","chr7",1,1200000
"chr7.37","chr7",1,1400000
"chr7.38","chr7",0.880952380952381,500000
"chr7.39","chr7",1,900000
"chr7.40","chr7",1,600000
"chr7.41","chr7",1,1800000
"chr7.42","chr7",1,900000
"chr7.43","chr7",1,800000
"chr7.44","chr7",0.328358208955224,400000
"chr7.45","chr7",0.671641791044776,600000
"chr7.46","chr7",1,1400000
"chr7.47","chr7",1,800000
"chr7.48","chr7",1,1700000
"chr7.49","chr7",1,1400000
"chr7.50","chr7",1,3200000
"chr7.51","chr7",1,800000
"chr7.52","chr7",1,800000
"chr7.53","chr7",0.700636942675159,600000
"chr7.54","chr7",1,1700000
"chr7.55","chr7",0.896551724137931,800000
"chr7.56","chr7",1,700000
"chr7.57","chr7",1,3300000
"chr7.58","chr7",0,2000000
"chr7.59","chr7",0,600000
"chr7.60","chr7",0.252336448598131,800000
"chr7.61","chr7",0.719626168224299,1000000
"chr7.62","chr7",0.280373831775701,900000
"chr7.63","chr7",0.0512820512820513,1200000
"chr7.64","chr7",1,700000
"chr7.65","chr7",0.818181818181818,700000
"chr7.66","chr7",0.365671641791045,800000
"chr7.67","chr7",0.58955223880597,600000
"chr7.68","chr7",0.850746268656716,700000
"chr7.69","chr7",0.149253731343284,600000
"chr7.70","chr7",0.010989010989011,600000
"chr7.71","chr7",0.989010989010989,1000000
"chr7.72","chr7",0.909090909090909,900000
"chr7.73","chr7",0,700000
"chr7.74","chr7",1,300000
"chr7.75","chr7",1,400000
"chr7.76","chr7",1,1000000
"chr7.77","chr7",1,1800000
"chr7.78","chr7",1,1000000
"chr7.79","chr7",1,800000
"chr7.80","chr7",1,600000
"chr7.81","chr7",0.72,800000
"chr7.82","chr7",1,1200000
"chr7.83","chr7",1,1400000
"chr7.84","chr7",1,1200000
"chr7.85","chr7",1,800000
"chr7.86","chr7",1,800000
"chr7.87","chr7",0,400000
"chr7.88","chr7",0.830508474576271,600000
"chr7.89","chr7",1,800000
"chr7.90","chr7",0.708333333333333,700000
"chr7.91","chr7",1,600000
"chr7.92","chr7",1,1400000
"chr7.93","chr7",1,700000
"chr7.94","chr7",1,700000
"chr7.95","chr7",1,400000
"chr7.96","chr7",1,800000
"chr7.97","chr7",1,700000
"chr7.98","chr7",1,3100000
"chr7.99","chr7",1,700000
"chr7.100","chr7",1,1300000
"chr7.101","chr7",1,2300000
"chr7.102","chr7",1,800000
"chr7.103","chr7",0.426666666666667,300000
"chr7.104","chr7",0.826666666666667,300000
"chr7.105","chr7",0.173333333333333,800000
"chr7.106","chr7",1,1000000
"chr7.107","chr7",1,1500000
"chr7.108","chr7",1,1100000
"chr7.109","chr7",1,1400000
"chr7.110","chr7",1,500000
"chr7.111","chr7",0.864,1000000
"chr7.112","chr7",0.136,800000
"chr7.113","chr7",1,1100000
"chr7.114","chr7",0.818181818181818,500000
"chr7.115","chr7",1,1000000
"chr7.116","chr7",1,1000000
"chr7.117","chr7",1,700000
"chr7.118","chr7",0.526315789473684,500000
"chr7.119","chr7",1,1100000
"chr7.120","chr7",1,1800000
"chr7.121","chr7",0.0232558139534884,600000
"chr7.122","chr7",0.88,400000
"chr7.123","chr7",1,1800000
"chr7.124","chr7",1,1400000
"chr7.125","chr7",0.689655172413793,400000
"chr7.126","chr7",0.904761904761905,300000
"chr7.127","chr7",1,1400000
"chr7.128","chr7",1,600000
"chr7.129","chr7",0.666666666666667,200000
"chr7.130","chr7",0.697247706422018,900000
"chr7.131","chr7",0.972477064220184,300000
"chr7.132","chr7",1,700000
"chr7.133","chr7",1,3100000
"chr7.134","chr7",1,1000000
"chr7.135","chr7",0.894736842105263,500000
"chr7.136","chr7",1,700000
"chr7.137","chr7",0,700000
"chr7.138","chr7",0.473684210526316,800000
"chr7.139","chr7",1,1700000
"chr7.140","chr7",0,1000000
"chr7.141","chr7",1,1100000
"chr7.142","chr7",1,500000
"chr7.143","chr7",1,1100000
"chr7.144","chr7",1,800000
"chr7.145","chr7",NA,NA
"chr7.146","chr7",NA,NA
"chr7.147","chr7",NA,NA
"chr7.148","chr7",NA,NA
"chr7.149","chr7",NA,NA
"chr7.150","chr7",NA,NA
"chr7.151","chr7",NA,NA
"chr8.1","chr8",1,1900000
"chr8.2","chr8",1,4000000
"chr8.3","chr8",1,800000
"chr8.4","chr8",0,600000
"chr8.5","chr8",0.266666666666667,900000
"chr8.6","chr8",1,600000
"chr8.7","chr8",1,300000
"chr8.8","chr8",1,800000
"chr8.9","chr8",1,1100000
"chr8.10","chr8",1,3000000
"chr8.11","chr8",0.465116279069767,500000
"chr8.12","chr8",0.534883720930233,700000
"chr8.13","chr8",1,900000
"chr8.14","chr8",1,1400000
"chr8.15","chr8",1,1700000
"chr8.16","chr8",1,1100000
"chr8.17","chr8",0,600000
"chr8.18","chr8",1,1100000
"chr8.19","chr8",1,400000
"chr8.20","chr8",1,700000
"chr8.21","chr8",1,1300000
"chr8.22","chr8",1,600000
"chr8.23","chr8",0.754716981132076,600000
"chr8.24","chr8",1,1300000
"chr8.25","chr8",1,1100000
"chr8.26","chr8",1,3100000
"chr8.27","chr8",1,900000
"chr8.28","chr8",1,700000
"chr8.29","chr8",1,1300000
"chr8.30","chr8",1,1200000
"chr8.31","chr8",1,1500000
"chr8.32","chr8",1,700000
"chr8.33","chr8",1,1000000
"chr8.34","chr8",1,800000
"chr8.35","chr8",1,3200000
"chr8.36","chr8",0.842105263157895,500000
"chr8.37","chr8",0.157894736842105,1000000
"chr8.38","chr8",0,600000
"chr8.39","chr8",0,2100000
"chr8.40","chr8",1,1100000
"chr8.41","chr8",1,1300000
"chr8.42","chr8",1,1700000
"chr8.43","chr8",0.555084745762712,600000
"chr8.44","chr8",0.766949152542373,500000
"chr8.45","chr8",1,1500000
"chr8.46","chr8",1,1200000
"chr8.47","chr8",1,1200000
"chr8.48","chr8",1,1900000
"chr8.49","chr8",1,800000
"chr8.50","chr8",1,1100000
"chr8.51","chr8",0.794117647058823,1100000
"chr8.52","chr8",1,1100000
"chr8.53","chr8",0.8,500000
"chr8.54","chr8",1,1000000
"chr8.55","chr8",0.476190476190476,1000000
"chr8.56","chr8",0.523809523809524,1000000
"chr8.57","chr8",1,1000000
"chr8.58","chr8",1,1200000
"chr8.59","chr8",1,900000
"chr8.60","chr8",1,1200000
"chr8.61","chr8",1,2100000
"chr8.62","chr8",1,2900000
"chr8.63","chr8",1,700000
"chr8.64","chr8",1,1100000
"chr8.65","chr8",1,1600000
"chr8.66","chr8",1,1300000
"chr8.67","chr8",1,1700000
"chr8.68","chr8",1,2200000
"chr8.69","chr8",0,1400000
"chr8.70","chr8",1,1000000
"chr8.71","chr8",1,1200000
"chr8.72","chr8",1,600000
"chr8.73","chr8",1,2000000
"chr8.74","chr8",0,300000
"chr8.75","chr8",1,900000
"chr8.76","chr8",1,800000
"chr8.77","chr8",1,1100000
"chr8.78","chr8",0.96,1000000
"chr8.79","chr8",1,1100000
"chr8.80","chr8",1,900000
"chr8.81","chr8",1,1000000
"chr8.82","chr8",1,600000
"chr8.83","chr8",0,300000
"chr8.84","chr8",1,1100000
"chr8.85","chr8",1,1100000
"chr8.86","chr8",0.627906976744186,800000
"chr8.87","chr8",1,700000
"chr8.88","chr8",1,1200000
"chr8.89","chr8",1,1100000
"chr8.90","chr8",1,800000
"chr8.91","chr8",0.649350649350649,700000
"chr8.92","chr8",1,1400000
"chr8.93","chr8",1,800000
"chr8.94","chr8",0,300000
"chr8.95","chr8",1,1200000
"chr8.96","chr8",1,1700000
"chr8.97","chr8",1,900000
"chr8.98","chr8",0,700000
"chr8.99","chr8",0.947368421052632,600000
"chr8.100","chr8",1,1100000
"chr8.101","chr8",0.707317073170732,600000
"chr8.102","chr8",1,1600000
"chr8.103","chr8",0,900000
"chr8.104","chr8",1,1300000
"chr8.105","chr8",1,600000
"chr8.106","chr8",1,600000
"chr8.107","chr8",1,800000
"chr8.108","chr8",0.842105263157895,200000
"chr8.109","chr8",0.958333333333333,600000
"chr8.110","chr8",1,1300000
"chr8.111","chr8",1,1900000
"chr8.112","chr8",1,1700000
"chr8.113","chr8",1,700000
"chr8.114","chr8",1,1300000
"chr8.115","chr8",0.852941176470588,700000
"chr8.116","chr8",0.851851851851852,600000
"chr8.117","chr8",1,500000
"chr8.118","chr8",1,600000
"chr8.119","chr8",NA,NA
"chr8.120","chr8",NA,NA
"chr8.121","chr8",NA,NA
"chr9.1","chr9",0.65,500000
"chr9.2","chr9",1,600000
"chr9.3","chr9",1,1100000
"chr9.4","chr9",1,700000
"chr9.5","chr9",1,1400000
"chr9.6","chr9",1,1400000
"chr9.7","chr9",1,1100000
"chr9.8","chr9",0.733333333333333,700000
"chr9.9","chr9",1,2400000
"chr9.10","chr9",0.346153846153846,2200000
"chr9.11","chr9",1,700000
"chr9.12","chr9",1,1200000
